my_0,my_1,my_2,my_3,my_4,my_5,my_6,my_7,op_0,op_1,op_2,op_3,op_4,op_5,op_6,op_7,result,my_crowns,op_crowns,my_lev_avg,op_lev_avg,battle_time
26000000,26000010,26000031,26000062,27000000,27000013,28000009,28000017,26000010,26000027,26000059,26000062,26000084,27000006,28000000,28000015,-1,1,2,26.75,26.25,20260329T150653.000Z
26000010,26000018,26000021,26000030,26000038,26000064,28000011,28000014,26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,1,1,0,27.0,25.5,20260329T090525.000Z
26000002,26000050,26000051,26000055,27000010,28000000,28000008,28000025,26000000,26000006,26000032,26000037,26000049,26000055,28000001,28000008,-1,0,2,24.5,25.375,20260328T194418.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000002,26000005,26000053,26000054,26000056,27000002,28000000,28000015,-1,0,1,25.5,27.5,20260329T080736.000Z
26000000,26000001,26000010,26000084,27000006,27000008,28000003,28000011,26000004,26000036,26000042,26000046,26000050,26000062,28000000,28000008,1,1,0,27.125,23.875,20260329T150423.000Z
26000010,26000011,26000029,26000039,27000009,28000000,28000008,28000025,26000003,26000013,26000016,26000027,26000039,28000000,28000002,28000008,1,2,0,25.875,26.375,20260329T015236.000Z
26000010,26000015,26000032,26000062,26000101,27000000,28000012,28000015,26000002,26000005,26000053,26000054,26000056,27000002,28000000,28000015,1,1,0,24.5,27.5,20260327T030052.000Z
26000000,26000010,26000062,26000095,27000004,27000013,28000011,28000012,26000003,26000005,26000007,26000025,26000034,28000001,28000010,28000017,1,1,0,25.25,25.875,20260328T112517.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000000,26000006,26000013,26000015,26000084,26000102,28000005,28000012,-1,0,1,25.5,26.5,20260329T045750.000Z
26000002,26000040,26000050,26000053,26000056,26000097,28000000,28000011,26000010,26000011,26000030,26000031,26000058,26000062,27000000,28000004,-1,0,1,26.25,26.5,20260329T122455.000Z
26000011,26000014,26000018,26000021,26000026,28000001,28000005,28000011,26000009,26000011,26000015,26000018,26000052,26000068,27000007,28000026,1,2,0,25.375,25.875,20260329T162948.000Z
26000003,26000013,26000016,26000027,26000039,28000000,28000002,28000008,26000009,26000012,26000037,26000048,26000067,26000069,28000001,28000002,-1,2,3,26.375,23.625,20260329T085204.000Z
26000003,26000005,26000007,26000018,26000034,28000001,28000010,28000017,26000010,26000014,26000021,26000030,26000038,27000000,28000000,28000011,-1,0,1,26.25,27.0,20260329T151242.000Z
26000050,26000051,26000055,26000062,28000000,28000008,28000015,28000025,26000050,26000051,26000055,26000062,28000000,28000008,28000015,28000025,-1,0,1,23.125,23.125,20260329T113503.000Z
26000002,26000040,26000050,26000053,26000056,26000097,28000003,28000011,26000003,26000012,26000027,26000033,26000042,26000049,28000001,28000008,1,1,0,26.25,25.5,20260329T041406.000Z
26000000,26000002,26000030,26000064,27000006,27000008,28000000,28000011,26000020,26000027,26000050,26000052,26000059,26000062,28000001,28000015,1,1,0,27.125,24.625,20260329T001235.000Z
26000010,26000011,26000017,26000030,26000031,26000084,27000007,27000008,26000002,26000040,26000050,26000053,26000056,26000097,28000003,28000011,1,1,0,27.625,26.25,20260329T120600.000Z
26000000,26000010,26000031,26000062,27000000,27000013,28000009,28000017,26000006,26000020,26000032,26000038,26000044,26000049,26000084,28000017,-1,1,2,26.75,25.875,20260327T072036.000Z
26000010,26000024,26000049,26000050,26000084,27000006,28000000,28000015,26000008,26000015,26000029,26000032,26000037,26000048,28000000,28000008,1,2,1,27.125,24.125,20260328T232901.000Z
26000000,26000001,26000010,26000084,27000006,27000008,28000000,28000011,26000037,26000048,26000067,26000069,26000077,26000084,28000001,28000002,1,1,0,26.75,23.625,20260329T171930.000Z
26000003,26000005,26000007,26000012,26000034,28000001,28000010,28000017,26000000,26000001,26000010,26000084,27000006,27000008,28000000,28000011,1,1,0,25.875,27.125,20260327T225644.000Z
26000010,26000030,26000059,26000072,27000000,28000011,28000014,28000018,26000010,26000030,26000059,26000072,27000000,28000011,28000014,28000018,-1,0,1,26.25,26.25,20260325T100718.000Z
26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,26000004,26000015,26000027,26000042,26000051,28000000,28000015,28000017,-1,0,1,25.625,24.25,20260328T214021.000Z
26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,26000050,26000051,26000055,26000074,26000083,28000000,28000008,28000025,-1,0,3,25.625,22.5,20260328T191945.000Z
26000002,26000005,26000053,26000054,26000056,27000002,28000000,28000015,26000011,26000014,26000018,26000021,26000030,26000041,27000006,28000008,1,2,0,27.5,27.25,20260326T164349.000Z
26000010,26000014,26000021,26000030,26000038,27000000,28000000,28000011,26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,-1,0,1,27.0,25.625,20260329T170722.000Z
26000010,26000011,26000029,26000039,27000009,28000000,28000008,28000025,26000010,26000021,26000065,26000084,27000000,27000010,28000007,28000011,1,1,0,26.0,25.625,20260327T095034.000Z
26000010,26000027,26000032,26000084,27000006,28000003,28000011,28000018,26000000,26000002,26000013,26000031,27000000,27000013,28000009,28000017,-1,0,1,26.125,27.75,20260328T214458.000Z
26000018,26000027,26000033,26000042,26000060,28000002,28000008,28000016,26000001,26000003,26000005,26000008,26000034,28000001,28000010,28000017,1,3,1,24.625,27.125,20260325T114235.000Z
26000002,26000005,26000053,26000054,26000056,27000002,28000000,28000015,26000000,26000010,26000031,26000095,27000006,27000013,28000009,28000017,1,1,0,27.5,27.5,20260328T112011.000Z
26000000,26000010,26000031,26000062,27000003,27000013,28000011,28000012,26000003,26000007,26000025,26000034,26000039,28000001,28000010,28000017,1,1,0,25.5,25.625,20260325T051447.000Z
26000000,26000019,26000032,26000058,26000062,27000004,28000011,28000012,26000003,26000014,26000025,26000034,26000048,28000001,28000010,28000017,-1,0,1,24.5,25.25,20260329T081311.000Z
26000050,26000051,26000055,26000062,28000000,28000008,28000015,28000025,26000009,26000013,26000035,26000039,26000043,26000048,28000001,28000008,1,1,0,23.125,26.125,20260329T071119.000Z
26000000,26000012,26000026,26000030,26000040,27000000,28000004,28000011,26000006,26000015,26000034,26000035,26000037,28000005,28000012,28000015,1,1,0,25.5,23.25,20260329T114226.000Z
26000003,26000017,26000018,26000022,26000027,26000033,27000007,28000002,26000011,26000019,26000032,26000058,26000062,27000004,28000011,28000012,-1,0,1,25.75,24.25,20260329T052452.000Z
26000000,26000013,26000018,26000028,26000077,27000007,28000002,28000016,26000000,26000001,26000010,26000084,27000006,27000008,28000000,28000011,-1,0,1,26.125,27.125,20260326T212913.000Z
26000050,26000051,26000055,26000062,28000000,28000008,28000015,28000025,26000000,26000001,26000010,26000084,27000006,27000008,28000000,28000011,1,1,0,23.125,27.125,20260328T060335.000Z
26000002,26000011,26000021,26000030,26000045,28000003,28000011,28000012,26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,1,1,0,26.0,25.625,20260324T103013.000Z
26000020,26000027,26000050,26000052,26000059,26000062,28000001,28000015,26000002,26000020,26000049,27000001,27000010,28000009,28000010,28000015,1,1,0,24.625,25.625,20260329T000400.000Z
26000003,26000013,26000016,26000027,26000039,28000000,28000002,28000008,26000010,26000011,26000030,27000001,27000010,28000009,28000010,28000015,-1,0,1,26.375,26.0,20260319T162803.000Z
26000010,26000014,26000021,26000030,26000038,27000000,28000000,28000011,26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,-1,0,1,27.0,25.5,20260329T173647.000Z
26000001,26000003,26000005,26000008,26000034,28000001,28000010,28000017,26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,-1,0,1,27.125,25.625,20260329T171743.000Z
26000010,26000021,26000064,26000065,26000084,27000000,28000011,28000014,26000001,26000003,26000005,26000008,26000034,28000001,28000010,28000017,1,1,0,26.25,27.125,20260329T132336.000Z
26000013,26000028,26000043,26000050,26000077,27000007,28000002,28000016,26000006,26000010,26000014,26000032,26000038,27000004,28000015,28000017,-1,0,1,25.375,26.0,20260328T173203.000Z
26000010,26000011,26000029,26000039,27000009,28000000,28000008,28000025,26000000,26000012,26000017,26000020,26000021,28000000,28000011,28000012,-1,0,1,25.875,25.375,20260329T013305.000Z
26000010,26000011,26000029,26000039,27000009,28000000,28000008,28000025,26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,1,1,0,26.0,25.5,20260328T220954.000Z
26000000,26000001,26000010,26000084,27000006,27000008,28000000,28000011,26000004,26000042,26000045,26000046,26000051,26000074,28000001,28000012,-1,0,3,27.125,22.875,20260326T002349.000Z
26000017,26000020,26000027,26000036,26000050,26000083,28000001,28000002,26000017,26000020,26000050,26000052,26000059,26000061,28000011,28000026,1,1,0,24.625,24.0,20260329T155743.000Z
26000031,26000032,26000049,26000058,26000062,26000102,27000004,28000015,26000018,26000021,26000026,26000031,26000038,26000049,28000003,28000011,1,1,0,25.5,26.0,20260327T224635.000Z
26000002,26000047,26000053,26000056,26000057,26000097,28000000,28000015,26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,1,1,0,27.625,25.5,20260318T202419.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000010,26000011,26000030,26000031,26000058,26000062,27000000,28000004,-1,0,1,25.5,26.5,20260329T162919.000Z
26000003,26000025,26000034,26000044,26000072,28000001,28000010,28000017,26000010,26000021,26000065,26000084,27000000,27000010,28000007,28000011,-1,0,1,24.625,25.625,20260328T122334.000Z
26000006,26000010,26000014,26000032,26000038,27000004,28000015,28000017,26000005,26000007,26000024,26000061,26000077,26000084,28000000,28000002,-1,1,2,26.0,25.25,20260324T221104.000Z
26000002,26000006,26000011,26000029,26000032,26000037,26000039,28000005,26000010,26000021,26000065,26000084,27000000,27000010,28000007,28000011,1,3,2,24.25,25.625,20260329T142135.000Z
26000008,26000020,26000021,26000022,26000025,26000064,28000007,28000011,26000009,26000015,26000039,26000048,27000012,28000007,28000012,28000015,1,1,0,25.875,24.375,20260329T153107.000Z
26000000,26000006,26000032,26000049,26000055,28000001,28000008,28000025,26000002,26000005,26000053,26000054,26000056,27000002,28000000,28000015,1,3,0,25.375,27.5,20260329T040450.000Z
26000010,26000027,26000059,26000062,26000084,27000006,28000000,28000015,26000009,26000027,26000035,26000063,26000080,27000007,28000012,28000015,-1,0,1,26.25,24.625,20260329T144103.000Z
26000006,26000012,26000020,26000037,26000049,26000069,28000001,28000005,26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,1,2,1,24.25,25.625,20260328T084405.000Z
26000000,26000010,26000031,26000062,27000003,27000013,28000011,28000012,26000017,26000020,26000036,26000042,26000046,26000050,28000001,28000015,1,1,0,25.5,24.25,20260325T083148.000Z
26000020,26000027,26000036,26000050,26000052,26000062,28000015,28000026,26000002,26000020,26000049,27000001,27000010,28000009,28000010,28000015,-1,0,3,24.0,25.625,20260328T235933.000Z
26000006,26000008,26000029,26000032,26000037,26000080,28000001,28000008,26000012,26000017,26000048,26000067,26000069,28000001,28000002,28000023,1,2,1,25.375,24.375,20260328T135430.000Z
26000006,26000008,26000013,26000029,26000037,28000001,28000017,28000023,26000000,26000010,26000032,26000049,26000062,27000000,28000000,28000011,1,1,0,25.75,25.75,20260328T153157.000Z
26000010,26000031,26000095,26000099,27000000,27000013,28000009,28000011,26000000,26000010,26000030,27000001,27000010,28000009,28000010,28000015,1,1,0,25.25,26.25,20260329T040208.000Z
26000010,26000011,26000030,26000032,27000006,28000009,28000015,28000025,26000006,26000010,26000014,26000032,26000038,27000004,28000015,28000017,1,1,0,25.5,26.0,20260329T160634.000Z
26000018,26000027,26000033,26000039,26000060,26000083,28000002,28000008,26000008,26000036,26000046,26000050,26000062,28000000,28000008,28000025,-1,0,1,24.625,24.5,20260329T061345.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000050,26000051,26000055,26000084,26000093,26000102,28000007,28000017,-1,0,1,25.5,24.125,20260328T043204.000Z
26000000,26000001,26000010,26000084,27000006,27000008,28000000,28000011,26000008,26000036,26000050,26000074,27000010,28000000,28000016,28000025,1,1,0,27.125,24.75,20260328T151757.000Z
26000009,26000010,26000039,26000048,26000067,26000069,28000001,28000002,26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,-1,1,2,25.0,25.5,20260327T105205.000Z
26000010,26000011,26000032,26000049,26000072,26000084,27000002,28000000,26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,-1,0,1,26.25,25.625,20260328T193111.000Z
26000000,26000010,26000032,26000049,26000062,27000000,28000000,28000011,26000002,26000011,26000021,26000030,26000045,28000003,28000011,28000012,-1,0,1,25.75,26.0,20260328T213216.000Z
26000002,26000034,26000037,26000074,26000085,27000000,28000007,28000012,26000010,26000031,26000050,26000058,26000062,26000097,27000000,28000011,1,1,0,24.25,25.125,20260326T075406.000Z
26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,26000012,26000040,26000058,26000069,27000003,27000013,28000000,28000011,1,1,0,25.625,24.125,20260329T142145.000Z
26000010,26000014,26000021,26000030,26000038,27000000,28000000,28000011,26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,-1,0,1,27.0,25.625,20260329T133206.000Z
26000010,26000014,26000021,26000030,26000038,27000000,28000000,28000011,26000000,26000001,26000010,26000084,27000006,27000008,28000003,28000011,1,3,0,27.0,27.125,20260329T165250.000Z
26000010,26000014,26000021,26000030,26000038,27000000,28000000,28000011,26000002,26000034,26000037,26000074,26000085,27000000,28000007,28000012,1,1,0,27.0,24.25,20260329T051546.000Z
26000017,26000020,26000036,26000042,26000050,26000083,28000015,28000026,26000002,26000011,26000030,26000031,26000058,26000064,27000000,28000004,-1,1,2,23.625,27.25,20260324T210625.000Z
26000002,26000050,26000051,26000055,27000010,28000000,28000008,28000025,26000010,26000011,26000029,26000039,27000009,28000000,28000008,28000025,1,1,0,24.5,26.0,20260329T024025.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000010,26000011,26000030,26000031,26000058,26000062,27000000,28000004,1,1,0,25.5,26.5,20260329T151637.000Z
26000000,26000010,26000030,27000001,27000010,28000009,28000010,28000015,26000009,26000015,26000035,26000039,26000048,28000007,28000012,28000015,1,1,0,26.25,23.625,20260329T113052.000Z
26000017,26000020,26000027,26000035,26000036,26000083,28000000,28000015,26000050,26000051,26000055,26000062,28000000,28000008,28000015,28000025,1,1,0,24.375,23.125,20260329T025823.000Z
26000017,26000020,26000036,26000042,26000046,26000050,28000001,28000015,26000000,26000010,26000032,26000049,26000062,27000000,28000000,28000011,1,1,0,24.25,25.75,20260329T112515.000Z
26000000,26000012,26000026,26000030,26000040,27000003,28000004,28000011,26000020,26000027,26000050,26000052,26000059,26000062,28000001,28000015,-1,0,1,25.25,24.625,20260329T074416.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,-1,0,1,25.5,25.625,20260328T190453.000Z
26000015,26000034,26000039,26000074,26000085,27000012,28000007,28000012,26000010,26000020,26000024,26000062,26000084,27000006,28000000,28000015,-1,0,1,24.125,26.5,20260329T133418.000Z
26000010,26000030,26000050,26000058,26000062,26000097,27000003,28000011,26000018,26000027,26000033,26000042,26000060,28000002,28000008,28000016,-1,0,3,24.875,24.625,20260329T120845.000Z
26000003,26000013,26000016,26000027,26000039,28000000,28000002,28000008,26000010,26000024,26000044,26000050,26000061,26000062,28000000,28000011,1,1,0,26.375,24.125,20260328T174255.000Z
26000006,26000010,26000014,26000032,26000038,27000004,28000015,28000017,26000009,26000012,26000037,26000048,26000067,26000069,28000001,28000002,1,1,0,26.0,23.625,20260328T134449.000Z
26000002,26000005,26000053,26000054,26000056,27000002,28000000,28000015,26000003,26000013,26000016,26000027,26000039,28000000,28000002,28000008,1,1,0,27.5,26.375,20260329T101501.000Z
26000017,26000020,26000027,26000036,26000050,26000083,28000015,28000026,26000027,26000042,26000050,26000054,26000062,26000103,28000000,28000015,1,1,0,24.0,22.625,20260323T063329.000Z
26000000,26000010,26000031,26000062,27000003,27000013,28000011,28000012,26000010,26000021,26000065,26000084,27000006,27000010,28000007,28000015,1,1,0,25.5,26.0,20260326T194413.000Z
26000010,26000021,26000064,26000065,26000084,27000000,28000011,28000014,26000005,26000032,26000050,26000058,26000062,27000001,28000009,28000015,1,1,0,26.25,23.875,20260329T011323.000Z
26000000,26000010,26000031,26000095,27000006,27000013,28000009,28000017,26000000,26000010,26000021,26000045,26000049,27000000,28000007,28000011,1,1,0,27.5,26.5,20260328T131319.000Z
26000010,26000050,26000059,26000062,26000084,27000001,28000007,28000015,26000010,26000014,26000021,26000030,26000038,27000000,28000000,28000011,-1,0,1,25.25,27.0,20260327T120221.000Z
26000003,26000014,26000025,26000034,26000048,28000001,28000010,28000017,26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,-1,0,1,25.25,25.5,20260329T133939.000Z
26000002,26000005,26000053,26000054,26000056,27000002,28000000,28000015,26000000,26000005,26000010,26000056,26000062,27000002,28000000,28000015,-1,0,1,27.5,27.125,20260325T220656.000Z
26000000,26000001,26000010,26000084,27000006,27000008,28000000,28000011,26000010,26000021,26000064,26000065,26000084,27000000,28000011,28000014,-1,0,1,27.125,26.25,20260329T130824.000Z
26000010,26000031,26000050,26000058,26000062,26000097,27000003,28000011,26000005,26000025,26000047,26000056,26000058,26000065,28000000,28000001,1,2,1,24.875,26.25,20260326T132152.000Z
26000000,26000013,26000015,26000085,27000001,28000007,28000012,28000015,26000012,26000048,26000067,26000077,28000001,28000008,28000023,28000025,1,1,0,25.625,24.25,20260328T100657.000Z
26000002,26000040,26000050,26000053,26000056,26000097,28000003,28000011,26000010,26000065,26000102,27000000,27000010,27000013,28000009,28000011,-1,0,1,26.25,25.25,20260327T222301.000Z
